dataset,context,static,embedding,lang,metric,value
conll2002,"No contextualized
embeddings",Char,char,n.a.,Precision,65.24
conll2002,"No contextualized
embeddings",Char,char,n.a.,Recall,64.35
conll2002,"No contextualized
embeddings",Char,char,n.a.,F1,64.03
conll2002,"No contextualized
embeddings",Char,char,n.a.,Precision,68.94
conll2002,"No contextualized
embeddings",Char,char,n.a.,Recall,67.23
conll2002,"No contextualized
embeddings",Char,char,n.a.,F1,67.80000000000001
conll2002,"No contextualized
embeddings",Char,char,n.a.,Precision,66.14999999999999
conll2002,"No contextualized
embeddings",Char,char,n.a.,Recall,64.84
conll2002,"No contextualized
embeddings",Char,char,n.a.,F1,65.07
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,79.57
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,50.480000000000004
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,F1,61.160000000000004
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,80.35
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,50.91
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,F1,61.650000000000006
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,75.75
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,51.41
conll2002,"No contextualized
embeddings",OHE,ohe,n.a.,F1,61.06
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,82.67
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,73.38
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,77.22
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,83.07
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,74.58
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,78.02
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,83.09
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,73.5
conll2002,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,77.42
conll2002,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,87.33999999999999
conll2002,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,76.25
conll2002,"No contextualized
embeddings",fastT,ft,Monolingual,F1,80.67999999999999
conll2002,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,86.74
conll2002,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,75.06
conll2002,"No contextualized
embeddings",fastT,ft,Monolingual,F1,79.65
